genus	species_separated_by_underscore	species	AphiaID	Match type
Alexandrium	Alexandrium_balechii	Alexandrium balechii	109708	exact
Alexandrium	Alexandrium_catenella	Alexandrium catenella	231873	exact
Alexandrium	Alexandrium_fragae	Alexandrium fragae	1469211	exact
Alexandrium	Alexandrium_hiranoi	Alexandrium hiranoi	233440	exact
Alexandrium	Alexandrium_leei	Alexandrium leei	109710	exact
Alexandrium	Alexandrium_minutum	Alexandrium minutum	109711	exact
Alexandrium	Alexandrium_monilatum	Alexandrium monilatum	231875	exact
Alexandrium	Alexandrium_ostenfeldii	Alexandrium ostenfeldii	109712	exact
Alexandrium	Alexandrium_pacificum	Alexandrium pacificum	833012	exact
Alexandrium	Alexandrium_pseudogonyaulax	Alexandrium pseudogonyaulax	109713	exact
Alexandrium	Alexandrium_tamarense	Alexandrium tamarense	109714	exact
Alexandrium	Alexandrium_tamiyavanichii	Alexandrium tamiyavanichii	233473	exact
Alexandrium	Alexandrium_taylori	Alexandrium taylori	109715	exact
Centrodinium	Centrodinium_punctatum	Centrodinium punctatum	233744	exact
Coolia	Coolia_tropicalis	Coolia tropicalis	233702	exact
Fukuyoa	Fukuyoa_paulensis	Fukuyoa paulensis	1359643	exact
Fukuyoa	Fukuyoa_ruetzleri	Fukuyoa ruetzleri	1311307	exact
Fukuyoa	Fukuyoa_yasumotoi	Fukuyoa yasumotoi	843037	exact
Gambierdiscus	Gambierdiscus_australes	Gambierdiscus australes	233377	exact
Gambierdiscus	Gambierdiscus_balechii	Gambierdiscus balechii	887213	exact
Gambierdiscus	Gambierdiscus_belizeanus	Gambierdiscus belizeanus	233378	exact
Gambierdiscus	Gambierdiscus_caribaeus	Gambierdiscus caribaeus	623628	exact
Gambierdiscus	Gambierdiscus_carolinianus	Gambierdiscus carolinianus	623629	exact
Gambierdiscus	Gambierdiscus_carpenteri	Gambierdiscus carpenteri	623630	exact
Gambierdiscus	Gambierdiscus_cheloniae	Gambierdiscus cheloniae	889873	exact
Gambierdiscus	Gambierdiscus_excentricus	Gambierdiscus excentricus	579358	exact
Gambierdiscus	Gambierdiscus_jejuensis	Gambierdiscus jejuensis	1380751	exact
Gambierdiscus	Gambierdiscus_lapillus	Gambierdiscus lapillus	1006536	exact
Gambierdiscus	Gambierdiscus_pacificus	Gambierdiscus pacificus	233380	exact
Gambierdiscus	Gambierdiscus_polynesiensis	Gambierdiscus polynesiensis	233381	exact
Gambierdiscus	Gambierdiscus_scabrosus	Gambierdiscus scabrosus	833060	exact
Gambierdiscus	Gambierdiscus_silvae	Gambierdiscus silvae	833053	exact
Gambierdiscus	Gambierdiscus_toxicus	Gambierdiscus toxicus	233382	exact
Gonyaulax	Gonyaulax_bohaiensis	Gonyaulax bohaiensis	1661845	exact
Gonyaulax	Gonyaulax_spinifera	Gonyaulax spinifera	110041	exact
Gonyaulax	Gonyaulax_taylorii	Gonyaulax taylorii	233583	exact
Lingulodinium	Lingulodinium_polyedra	Lingulodinium polyedra	233592	exact
Ostreopsis	Ostreopsis_fattorussoi	Ostreopsis fattorussoi	1023403	exact
Ostreopsis	Ostreopsis_heptagona	Ostreopsis heptagona	233707	exact
Ostreopsis	Ostreopsis_lenticularis	Ostreopsis lenticularis	231881	exact
Ostreopsis	Ostreopsis_mascarenensis	Ostreopsis mascarenensis	233711	exact
Ostreopsis	Ostreopsis_ovata	Ostreopsis ovata	110068	exact
Ostreopsis	Ostreopsis_rhodesiae	Ostreopsis rhodesiae	889864	exact
Ostreopsis	Ostreopsis_siamensis	Ostreopsis siamensis	233712	exact
Protoceratium	Protoceratium_reticulatum	Protoceratium reticulatum	110321	exact
Pyrodinium	Pyrodinium_bahamense	Pyrodinium bahamense	231886	exact
Akashiwo	Akashiwo_sanguinea	Akashiwo sanguinea	232546	exact
Gymnodinium	Gymnodinium_catenatum	Gymnodinium catenatum	109784	exact
Karenia	Karenia_bicuneiformis	Karenia bicuneiformis	233014	exact
Karenia	Karenia_brevis	Karenia brevis	233015	exact
Karenia	Karenia_brevisulcata	Karenia brevisulcata	233018	exact
Karenia	Karenia_concordia	Karenia concordia	246592	exact
Karenia	Karenia_cristata	Karenia cristata	233020	exact
Karenia	Karenia_longicanalis	Karenia longicanalis	233022	exact
Karenia	Karenia_mikimotoi	Karenia mikimotoi	233024	exact
Karenia	Karenia_papilionacea	Karenia papilionacea	246593	exact
Karenia	Karenia_selliformis	Karenia selliformis	246594	exact
Karlodinium	Karlodinium_armiger	Karlodinium armiger	370510	exact
Karlodinium	Karlodinium_conicum	Karlodinium conicum	531341	exact
Karlodinium	Karlodinium_corsicum	Karlodinium corsicum	531343	exact
Karlodinium	Karlodinium_digitatum	Karlodinium digitatum	1356545	exact
Karlodinium	Karlodinium_gentienii	Karlodinium gentienii	944575	exact
Karlodinium	Karlodinium_veneficum	Karlodinium veneficum	233037	exact
Margalefidinium	Margalefidinium_fulvescens	Margalefidinium fulvescens	1359627	exact
Margalefidinium	Margalefidinium_polykrikoides	Margalefidinium polykrikoides	990876	exact
Polykrikos	Polykrikos_hartmannii	Polykrikos hartmannii	109898	exact
Takayama	Takayama_cladochroma	Takayama cladochroma	233080	exact
Heterocapsa	Heterocapsa_circularisquama	Heterocapsa circularisquama	233610	exact
Vulcanodinium	Vulcanodinium_rugosum	Vulcanodinium rugosum	624488	exact
Prorocentrum	Prorocentrum_borbonicum	Prorocentrum borbonicum	232475	exact
Prorocentrum	Prorocentrum_caipirignum	Prorocentrum caipirignum	1063494	exact
Prorocentrum	Prorocentrum_cassubicum	Prorocentrum cassubicum	110294	exact
Prorocentrum	Prorocentrum_concavum	Prorocentrum concavum	232461	exact
Prorocentrum	Prorocentrum_cordatum	Prorocentrum cordatum	232376	exact
Prorocentrum	Prorocentrum_emarginatum	Prorocentrum emarginatum	232441	exact
Prorocentrum	Prorocentrum_hoffmannianum	Prorocentrum hoffmannianum	232423	exact
Prorocentrum	Prorocentrum_leve	Prorocentrum leve	838517	exact
Prorocentrum	Prorocentrum_lima	Prorocentrum lima	110301	exact
Prorocentrum	Prorocentrum_mexicanum	Prorocentrum mexicanum	231885	exact
Prorocentrum	Prorocentrum_porosum	Prorocentrum porosum	1634113	exact
Prorocentrum	Prorocentrum_rhathymum	Prorocentrum rhathymum	232298	exact
Prorocentrum	Prorocentrum_steidingerae	Prorocentrum steidingerae	1023402	exact
Prorocentrum	Prorocentrum_texanum	Prorocentrum texanum	838471	exact
Luciella	Luciella_masanensis	Luciella masanensis	623048	exact
Pfiesteria	Pfiesteria_piscicida	Pfiesteria piscicida	246598	exact
Pfiesteria	Pfiesteria_shumwayae	Pfiesteria shumwayae	246599	exact
Amphidoma	Amphidoma_languida	Amphidoma languida	729889	exact
Azadinium	Azadinium_dexteroporum	Azadinium dexteroporum	839790	exact
Azadinium	Azadinium_poporum	Azadinium poporum	624513	exact
Azadinium	Azadinium_spinosum	Azadinium spinosum	391509	exact
Chattonella	Chattonella_antiqua	Chattonella antiqua	233778	exact
Chattonella	Chattonella_marina	Chattonella marina	233780	exact
Chattonella	Chattonella_ovata	Chattonella ovata	700515	exact
Chattonella	Chattonella_subsalsa	Chattonella subsalsa	246590	exact
Fibrocapsa	Fibrocapsa_japonica	Fibrocapsa japonica	233761	exact
Heterosigma	Heterosigma_akashiwo	Heterosigma akashiwo	160585	exact
Pseudochattonella	Pseudochattonella_farcimen	Pseudochattonella farcimen	531467	exact
Pseudochattonella	Pseudochattonella_verruculosa	Pseudochattonella verruculosa	531446	exact
Vicicitus	Vicicitus_globosus	Vicicitus globosus	707927	exact
Aureococcus	Aureococcus_anophagefferens	Aureococcus anophagefferens	375699	exact
Aureoumbra	Aureoumbra_lagunensis	Aureoumbra lagunensis	375701	exact
Anabaena	Anabaena_cylindrica	Anabaena cylindrica	177649	exact
Anabaena	Anabaena_lapponica	Anabaena lapponica	609454	exact
Anabaenopsis	Anabaenopsis_arnoldii	Anabaenopsis arnoldii	609458	exact
Anabaenopsis	Anabaenopsis_milleri	Anabaenopsis milleri	618706	exact
Anagnostidinema	Anagnostidinema_amphibium	Anagnostidinema amphibium	1313613	exact
Anagnostidinema	Anagnostidinema_lemmermannii	Anagnostidinema lemmermannii	1315543	exact
Annamia	Annamia_toxica	Annamia toxica	838069	exact
Aphanizomenon	Aphanizomenon_flosaquae	Aphanizomenon flosaquae	609460	exact
Aphanizomenon	Aphanizomenon_gracile	Aphanizomenon gracile	248100	exact
Blennothrix	Blennothrix_lyngbyacea	Blennothrix lyngbyacea	213723	exact
Calothrix	Calothrix_pairetina	Calothrix pairetina	239094	near_1
Chrysosporum	Chrysosporum_bergii	Chrysosporum bergii	837529	exact
Chrysosporum	Chrysosporum_ovalisporum	Chrysosporum ovalisporum	837524	exact
Coelosphaerium	Coelosphaerium_kuetzingianum	Coelosphaerium kuetzingianum	177100	exact
Cuspidothrix	Cuspidothrix_issatschenkkoi	Cuspidothrix issatschenkkoi	621617	phonetic
Cyanobium	Cyanobium_bacillare	Cyanobium bacillare	612415	exact
Cylindrospermum	Cylindrospermum_stagnale	Cylindrospermum stagnale	609468	exact
Dolichospermum	Dolichospermum_circinale	Dolichospermum circinale	699631	exact
Dolichospermum	Dolichospermum_flosaquae	Dolichospermum flosaquae	623803	exact
Dolichospermum	Dolichospermum_lemmermannii	Dolichospermum lemmermannii	625374	exact
Dolichospermum	Dolichospermum_macrosporum	Dolichospermum macrosporum	625403	exact
Dolichospermum	Dolichospermum_mendotae	Dolichospermum mendotae	625404	exact
Dolichospermum	Dolichospermum_planctonicum	Dolichospermum planctonicum	625407	exact
Dolichospermum	Dolichospermum_sigmoideum	Dolichospermum sigmoideum	625408	exact
Dolichospermum	Dolichospermum_spiroides	Dolichospermum spiroides	625411	exact
Geitlerinema	Geitlerinema_carotinosum	Geitlerinema carotinosum	612745	exact
Gloeotrichia	Gloeotrichia_echinulata	Gloeotrichia echinulata	409630	exact
Kamptonema	Kamptonema_formosum	Kamptonema formosum	837205	exact
Limnospira	Limnospira_fusiformis	Limnospira fusiformis	1327367	exact
Limnothrix	Limnothrix_redekei	Limnothrix redekei	177508	exact
Lyngbya	Lyngbya_majuscula	Lyngbya majuscula	660754	exact
Microcystis	Microcystis_aeruginosa	Microcystis aeruginosa	146558	exact
Microcystis	Microcystis_botrys	Microcystis botrys	578236	exact
Microcystis	Microcystis_flosaquae	Microcystis flosaquae	699375	exact
Microcystis	Microcystis_ichthyoblabe	Microcystis ichthyoblabe	177245	exact
Microcystis	Microcystis_panniformis	Microcystis panniformis	620863	exact
Microcystis	Microcystis_viridis	Microcystis viridis	177400	exact
Microcystis	Microcystis_wesenbergii	Microcystis wesenbergii	146561	exact
Nodularia	Nodularia_spumigena	Nodularia spumigena	160566	exact
Phormidium	Phormidium_uncinatum	Phormidium uncinatum	661044	exact
Planktothrix	Planktothrix_agardhii	Planktothrix agardhii	146552	exact
Planktothrix	Planktothrix_prolifica	Planktothrix prolifica	572062	exact
Planktothrix	Planktothrix_rubescens	Planktothrix rubescens	572064	exact
Raphidiopsis	Raphidiopsis_curvata	Raphidiopsis curvata	656423	exact
Raphidiopsis	Raphidiopsis_mediterranea	Raphidiopsis mediterranea	619197	exact
Raphidiopsis	Raphidiopsis_raciborskii	Raphidiopsis raciborskii	1308940	exact
Snowella	Snowella_lacustris	Snowella lacustris	146645	exact
Trichormus	Trichormus_variabilis	Trichormus variabilis	146661	exact
			
